Year,Conf,Team,Wins,Loss,Prorated Win,Salary,cost per win,champ,Finals,playoffs,,,,,,,,,
2021,Southeast,Atlanta Hawks,41,31,47,"$124,876,549 ","$2,674,334.18 ",0,0,1,,,,,,,,,
2021,Atlantic,Boston Celtics,36,36,41,"$139,125,550 ","$3,393,306.10 ",0,0,1,,,,,,,,,
2021,Atlantic,Brooklyn Nets,48,24,55,"$170,139,057 ","$3,112,299.82 ",0,0,1,,,,,,,,,
2021,Southeast,Charlotte Hornets,33,39,38,"$85,507,421 ","$2,275,142.02 ",0,0,0,,,,,,,,,
2021,Central,Chicago Bulls,31,41,35,"$153,449,600 ","$4,346,330.13 ",0,0,0,,,,,,,,,
2021,Central,Cleveland Cavaliers,22,50,25,"$122,551,704 ","$4,891,198.83 ",0,0,0,,,,,,,,,
2021,Southwest,Dallas Mavericks,42,30,48,"$110,334,054 ","$2,306,635.28 ",0,0,1,,,,,,,,,
2021,Northwest,Denver Nuggets,47,25,54,"$133,342,005 ","$2,491,080.53 ",0,0,1,,,,,,,,,
2021,Central,Detroit Pistons,20,52,23,"$67,309,165 ","$2,955,036.51 ",0,0,0,,,,,,,,,
2021,Pacific,Golden State Warriors,39,33,44,"$173,834,022 ","$3,913,711.56 ",0,0,0,,,,,,,,,
2021,Southwest,Houston Rockets,17,55,19,"$115,816,827 ","$5,981,930.81 ",0,0,0,,,,,,,,,
2021,Central,Indiana Pacers,34,38,39,"$135,483,269 ","$3,498,850.56 ",0,0,0,,,,,,,,,
2021,Pacific,Los Angeles Clippers,47,25,54,"$115,816,421 ","$2,163,669.52 ",0,0,1,,,,,,,,,
2021,Pacific,Los Angeles Lakers,42,30,48,"$139,764,317 ","$2,921,902.10 ",0,0,1,,,,,,,,,
2021,Southwest,Memphis Grizzlies,38,34,43,"$84,636,048 ","$1,955,646.81 ",0,0,1,,,,,,,,,
2021,Southeast,Miami Heat,40,32,46,"$144,492,441 ","$3,171,785.29 ",0,0,1,,,,,,,,,
2021,Central,Milwaukee Bucks,46,26,52,"$144,345,602 ","$2,755,271.30 ",1,1,1,,,,,,,,,
2021,Northwest,Minnesota Timberwolves,23,49,26,"$126,465,754 ","$4,827,960.92 ",0,0,0,,,,,,,,,
2021,Southwest,New Orleans Pelicans,31,41,35,"$105,355,449 ","$2,984,103.98 ",0,0,0,,,,,,,,,
2021,Atlantic,New York Knicks,41,31,47,"$101,455,613 ","$2,172,755.54 ",0,0,1,,,,,,,,,
2021,Northwest,Oklahoma City Thunder,22,50,25,"$75,580,744 ","$3,016,526.37 ",0,0,0,,,,,,,,,
2021,Southeast,Orlando Magic,21,51,24,"$112,125,316 ","$4,688,166.52 ",0,0,0,,,,,,,,,
2021,Atlantic,Philadelphia 76ers,49,23,56,"$133,396,466 ","$2,390,379.68 ",0,0,1,,,,,,,,,
2021,Pacific,Phoenix Suns,51,21,58,"$118,267,087 ","$2,036,162.19 ",0,1,1,,,,,,,,,
2021,Northwest,Portland Trail Blazers,42,30,48,"$133,203,283 ","$2,784,737.62 ",0,0,1,,,,,,,,,
2021,Pacific,Sacramento Kings,31,41,35,"$128,850,191 ","$3,649,572.68 ",0,0,0,,,,,,,,,
2021,Southwest,San Antonio Spurs,33,39,38,"$76,743,544 ","$2,041,956.82 ",0,0,0,,,,,,,,,
2021,Atlantic,Toronto Raptors,27,45,31,"$97,766,775 ","$3,179,407.32 ",0,0,0,,,,,,,,,
