Year,Conf,Team,Wins,Loss,prorated_win,salary,cost_per_win,champ,finals,playoffs
2021,Southeast,Atlanta Hawks,41,31,47,124876549,3.763717077,0,0,1
2021,Atlantic,Boston Celtics,36,36,41,139125550,2.946978467,0,0,1
2021,Atlantic,Brooklyn Nets,48,24,55,170139057,3.232649867,0,0,1
2021,Southeast,Charlotte Hornets,33,39,38,85507421,4.444058721,0,0,0
2021,Central,Chicago Bulls,31,41,35,153449600,2.280879194,0,0,0
2021,Central,Cleveland Cavaliers,22,50,25,122551704,2.039955316,0,0,0
2021,Southwest,Dallas Mavericks,42,30,48,110334054,4.350424756,0,0,1
2021,Northwest,Denver Nuggets,47,25,54,133342005,4.049736615,0,0,1
2021,Central,Detroit Pistons,20,52,23,67309165,3.417068092,0,0,0
2021,Pacific,Golden State Warriors,39,33,44,173834022,2.531150088,0,0,0
2021,Southwest,Houston Rockets,17,55,19,115816827,1.640521545,0,0,0
2021,Central,Indiana Pacers,34,38,39,135483269,2.878584218,0,0,0
2021,Pacific,Los Angeles Clippers,47,25,54,115816421,4.662551263,0,0,1
2021,Pacific,Los Angeles Lakers,42,30,48,139764317,3.43435299,0,0,1
2021,Southwest,Memphis Grizzlies,38,34,43,84636048,5.080577486,0,0,1
2021,Southeast,Miami Heat,40,32,46,144492441,3.18355754,0,0,1
2021,Central,Milwaukee Bucks,46,26,52,144345602,3.602465145,1,1,1
2021,Northwest,Minnesota Timberwolves,23,49,26,126465754,2.055892538,0,0,0
2021,Southwest,New Orleans Pelicans,31,41,35,105355449,3.322087308,0,0,0
2021,Atlantic,New York Knicks,41,31,47,101455613,4.632567742,0,0,1
2021,Northwest,Oklahoma City Thunder,22,50,25,75580744,3.307720813,0,0,0
2021,Southeast,Orlando Magic,21,51,24,112125316,2.140462195,0,0,0
2021,Atlantic,Philadelphia 76ers,49,23,56,133396466,4.198012262,0,0,1
2021,Pacific,Phoenix Suns,51,21,58,118267087,4.904153934,0,1,1
2021,Northwest,Portland Trail Blazers,42,30,48,133203283,3.603514787,0,0,1
2021,Pacific,Sacramento Kings,31,41,35,128850191,2.716332799,0,0,0
2021,Southwest,San Antonio Spurs,33,39,38,76743544,4.951556577,0,0,0
2021,Atlantic,Toronto Raptors,27,45,31,97766775,3.170811352,0,0,0
2021,Northwest,Utah Jazz,52,20,59,145826895,4.045892906,0,0,1
2021,Southeast,Washington Wizards,34,38,39,141693136,2.752426907,0,0,1
2020,Southeast,Atlanta Hawks,20,47,24,115950371,2.069851074,0,0,
2020,Atlantic,Boston Celtics,48,24,55,127429245,4.316120683,0,0,
2020,Atlantic,Brooklyn Nets,35,37,40,163724180,2.443133323,0,0,
2020,Southeast,Charlotte Hornets,23,42,29,98277101,2.950839993,0,0,
2020,Central,Chicago Bulls,22,43,28,127968089,2.18804549,0,0,
2020,Central,Cleveland Cavaliers,19,46,24,95972309,2.500721328,0,0,
2020,Southwest,Dallas Mavericks,43,32,47,124194840,3.784376227,0,0,
2020,Northwest,Denver Nuggets,46,27,52,126468408,4.111698789,0,0,
2020,Central,Detroit Pistons,20,46,25,76373096,3.273404027,0,0,
2020,Pacific,Golden State Warriors,15,50,19,168323849,1.128776469,0,0,
2020,Southwest,Houston Rockets,44,28,50,122058089,4.096410194,0,0,
2020,Central,Indiana Pacers,45,28,51,124750319,4.088165899,0,0,
2020,Pacific,Los Angeles Clippers,49,23,56,137010779,4.087269659,0,0,
2020,Pacific,Los Angeles Lakers,52,19,60,129314031,4.639867734,1,1,
2020,Southwest,Memphis Grizzlies,34,39,38,96358089,3.943623249,0,0,
2020,Southeast,Miami Heat,44,29,49,126781448,3.864918785,0,1,
2020,Central,Milwaukee Bucks,56,17,63,126429087,4.983030527,0,0,
2020,Northwest,Minnesota Timberwolves,19,45,24,128339053,1.870046524,0,0,
2020,Southwest,New Orleans Pelicans,30,42,34,131561774,2.584337302,0,0,
2020,Atlantic,New York Knicks,21,45,26,81511334,3.18974046,0,0,
2020,Northwest,Oklahoma City Thunder,44,28,50,59343071,8.425583502,0,0,
2020,Southeast,Orlando Magic,33,40,37,109375123,3.382853339,0,0,
2020,Atlantic,Philadelphia 76ers,43,30,48,144293484,3.32655354,0,0,
2020,Pacific,Phoenix Suns,34,39,38,126329911,3.007997053,0,0,
2020,Northwest,Portland Trail Blazers,35,39,39,125356909,3.111116915,0,0,
2020,Pacific,Sacramento Kings,31,41,35,93989320,3.723827345,0,0,
2020,Southwest,San Antonio Spurs,32,39,37,104117063,3.553692251,0,0,
2020,Atlantic,Toronto Raptors,53,19,60,121290132,4.946816283,0,0,
2020,Northwest,Utah Jazz,44,28,50,135529368,3.689237302,0,0,
2020,Southeast,Washington Wizards,25,47,28,126243515,2.217935709,0,0,
2019,Southeast,Atlanta Hawks,29,53,29,82491624,3.515508435,0,0,
2019,Atlantic,Boston Celtics,49,33,49,116889734,4.191984901,0,0,
2019,Atlantic,Brooklyn Nets,42,40,42,94820578,4.429418264,0,0,
2019,Southeast,Charlotte Hornets,39,43,39,97765606,3.989132947,0,0,
2019,Central,Chicago Bulls,22,60,22,111720511,1.969199729,0,0,
2019,Central,Cleveland Cavaliers,19,63,19,129260620,1.469898566,0,0,
2019,Southwest,Dallas Mavericks,33,49,33,117553325,2.807236631,0,0,
2019,Northwest,Denver Nuggets,54,28,54,128193401,4.212385316,0,0,
2019,Central,Detroit Pistons,41,41,41,104275681,3.931885134,0,0,
2019,Pacific,Golden State Warriors,57,25,57,130342231,4.373102989,0,1,
2019,Southwest,Houston Rockets,53,29,53,124493840,4.257238752,0,0,
2019,Central,Indiana Pacers,48,34,48,112346544,4.272494577,0,0,
2019,Pacific,Los Angeles Clippers,48,34,48,128442811,3.737071746,0,0,
2019,Pacific,Los Angeles Lakers,37,45,37,107807481,3.43204383,0,0,
2019,Southwest,Memphis Grizzlies,33,49,33,97524703,3.383758062,0,0,
2019,Southeast,Miami Heat,39,43,39,128951102,3.024402227,0,0,
2019,Central,Milwaukee Bucks,60,22,60,120683725,4.971672858,0,0,
2019,Northwest,Minnesota Timberwolves,36,46,36,114357931,3.148010784,0,0,
2019,Southwest,New Orleans Pelicans,33,49,33,117797425,2.801419471,0,0,
2019,Atlantic,New York Knicks,17,65,17,100220276,1.696263539,0,0,
2019,Northwest,Oklahoma City Thunder,49,33,49,131847446,3.71641632,0,0,
2019,Southeast,Orlando Magic,42,40,42,125365088,3.350215014,0,0,
2019,Atlantic,Philadelphia 76ers,51,31,51,126594115,4.028623289,0,0,
2019,Pacific,Phoenix Suns,19,63,19,98005821,1.938660358,0,0,
2019,Northwest,Portland Trail Blazers,53,29,53,131037504,4.044643585,0,0,
2019,Pacific,Sacramento Kings,39,43,39,112819088,3.456861839,0,0,
2019,Southwest,San Antonio Spurs,48,34,48,111915368,4.288955204,0,0,
2019,Atlantic,Toronto Raptors,58,24,58,125463535,4.622857151,1,1,
2019,Northwest,Utah Jazz,50,32,50,119985153,4.167182251,0,0,
2019,Southeast,Washington Wizards,32,50,32,87153787,3.67167063,0,0,
2018,Southeast,Atlanta Hawks,24,58,24,62166838,3.860579172,0,0,
2018,Atlantic,Boston Celtics,55,27,55,126135234,4.360399411,0,0,
2018,Atlantic,Brooklyn Nets,28,54,28,77805720,3.598707139,0,0,
2018,Southeast,Charlotte Hornets,36,46,36,121810182,2.955417963,0,0,
2018,Central,Chicago Bulls,27,55,27,93022110,2.902535752,0,0,
2018,Central,Cleveland Cavaliers,50,32,50,122168064,4.092722628,0,1,
2018,Southwest,Dallas Mavericks,24,58,24,74347737,3.228074043,0,0,
2018,Northwest,Denver Nuggets,46,36,46,116453842,3.950062893,0,0,
2018,Central,Detroit Pistons,39,43,39,116292254,3.353619752,0,0,
2018,Pacific,Golden State Warriors,58,24,58,144517971,4.013341704,1,1,
2018,Southwest,Houston Rockets,65,17,65,120763311,5.382429437,0,0,
2018,Central,Indiana Pacers,48,34,48,99581987,4.820148849,0,0,
2018,Pacific,Los Angeles Clippers,42,40,42,83224562,5.046587088,0,0,
2018,Pacific,Los Angeles Lakers,35,47,35,90654646,3.860805987,0,0,
2018,Southwest,Memphis Grizzlies,22,60,22,119619058,1.839171815,0,0,
2018,Southeast,Miami Heat,44,38,44,122657637,3.587220582,0,0,
2018,Central,Milwaukee Bucks,44,38,44,114955757,3.827559502,0,0,
2018,Northwest,Minnesota Timberwolves,47,35,47,117388804,4.003788981,0,0,
2018,Southwest,New Orleans Pelicans,48,34,48,99636769,4.817498649,0,0,
2018,Atlantic,New York Knicks,29,53,29,62775458,4.619639732,0,0,
2018,Northwest,Oklahoma City Thunder,48,34,48,138111761,3.475446237,0,0,
2018,Southeast,Orlando Magic,25,57,25,112686749,2.218539466,0,0,
2018,Atlantic,Philadelphia 76ers,52,30,52,107554205,4.834771453,0,0,
2018,Pacific,Phoenix Suns,21,61,21,68854080,3.049928196,0,0,
2018,Northwest,Portland Trail Blazers,49,33,49,128004910,3.827978161,0,0,
2018,Pacific,Sacramento Kings,27,55,27,92287612,2.925636433,0,0,
2018,Southwest,San Antonio Spurs,47,35,47,101438941,4.633329128,0,0,
2018,Atlantic,Toronto Raptors,59,23,59,135355561,4.35888999,0,0,
2018,Northwest,Utah Jazz,48,34,48,113437858,4.231391605,0,0,
2018,Southeast,Washington Wizards,43,39,43,115917170,3.709545359,0,0,
2017,Southeast,Atlanta Hawks,43,39,43,67426026,6.377359389,0,0,
2017,Atlantic,Boston Celtics,53,29,53,115481314,4.589487092,0,0,
2017,Atlantic,Brooklyn Nets,20,62,20,89124239,2.244058432,0,0,
2017,Southeast,Charlotte Hornets,36,46,36,117228164,3.070934387,0,0,
2017,Central,Chicago Bulls,41,41,41,63826969,6.423616951,0,0,
2017,Central,Cleveland Cavaliers,51,31,51,135777082,3.756156728,0,1,
2017,Southwest,Dallas Mavericks,33,49,33,78243993,4.217576166,0,0,
2017,Northwest,Denver Nuggets,40,42,40,101779153,3.930077901,0,0,
2017,Central,Detroit Pistons,37,45,37,113040993,3.273148883,0,0,
2017,Pacific,Golden State Warriors,67,15,67,133611005,5.014556997,1,1,
2017,Southwest,Houston Rockets,55,27,55,114484312,4.804151681,0,0,
2017,Central,Indiana Pacers,42,40,42,90081320,4.662453881,0,0,
2017,Pacific,Los Angeles Clippers,51,31,51,116141747,4.391185884,0,0,
2017,Pacific,Los Angeles Lakers,26,56,26,93848506,2.770422366,0,0,
2017,Southwest,Memphis Grizzlies,43,39,43,100033826,4.298545974,0,0,
2017,Southeast,Miami Heat,41,41,41,103753306,3.951681308,0,0,
2017,Central,Milwaukee Bucks,42,40,42,100039227,4.198353112,0,0,
2017,Northwest,Minnesota Timberwolves,31,51,31,102739777,3.017331836,0,0,
2017,Southwest,New Orleans Pelicans,34,48,34,115907328,2.933377948,0,0,
2017,Atlantic,New York Knicks,31,51,31,98086116,3.160488076,0,0,
2017,Northwest,Oklahoma City Thunder,47,35,47,130477891,3.602142834,0,0,
2017,Southeast,Orlando Magic,29,53,29,94946559,3.054349763,0,0,
2017,Atlantic,Philadelphia 76ers,28,54,28,89638648,3.123652646,0,0,
2017,Pacific,Phoenix Suns,24,58,24,74114136,3.238248639,0,0,
2017,Northwest,Portland Trail Blazers,41,41,41,114016865,3.595959247,0,0,
2017,Pacific,Sacramento Kings,32,50,32,77725702,4.117042262,0,0,
2017,Southwest,San Antonio Spurs,61,21,61,114051642,5.348454343,0,0,
2017,Atlantic,Toronto Raptors,51,31,51,115391026,4.419754444,0,0,
2017,Northwest,Utah Jazz,51,31,51,103837783,4.911507019,0,0,
2017,Southeast,Washington Wizards,49,33,49,122840421,3.988915017,0,0,
2016,Southeast,Atlanta Hawks,48,34,48,92928845,5.165242288,0,0,
2016,Atlantic,Boston Celtics,48,34,48,91484921,5.246766295,0,0,
2016,Atlantic,Brooklyn Nets,21,61,21,65405906,3.210719228,0,0,
2016,Southeast,Charlotte Hornets,48,34,48,100201483,4.790348263,0,0,
2016,Central,Chicago Bulls,42,40,42,92786833,4.526504316,0,0,
2016,Central,Cleveland Cavaliers,57,25,57,125132604,4.555167732,1,1,
2016,Southwest,Dallas Mavericks,42,40,42,93538029,4.490152342,0,0,
2016,Northwest,Denver Nuggets,33,49,33,78416141,4.208317265,0,0,
2016,Central,Detroit Pistons,44,38,44,102503259,4.292546445,0,0,
2016,Pacific,Golden State Warriors,73,9,73,97520106,7.485635834,0,1,
2016,Southwest,Houston Rockets,41,41,41,88025448,4.657743974,0,0,
2016,Central,Indiana Pacers,45,37,45,85614337,5.256129006,0,0,
2016,Pacific,Los Angeles Clippers,53,29,53,114094528,4.645270981,0,0,
2016,Pacific,Los Angeles Lakers,17,65,17,85639596,1.985063078,0,0,
2016,Southwest,Memphis Grizzlies,42,40,42,108352164,3.876249301,0,0,
2016,Southeast,Miami Heat,48,34,48,96523509,4.972881788,0,0,
2016,Central,Milwaukee Bucks,33,49,33,89559893,3.684685063,0,0,
2016,Northwest,Minnesota Timberwolves,29,53,29,59494555,4.874395648,0,0,
2016,Southwest,New Orleans Pelicans,30,52,30,94338640,3.180033123,0,0,
2016,Atlantic,New York Knicks,32,50,32,80469422,3.97666582,0,0,
2016,Northwest,Oklahoma City Thunder,55,27,55,87418324,6.291587105,0,0,
2016,Southeast,Orlando Magic,35,47,35,102502863,3.414538772,0,0,
2016,Atlantic,Philadelphia 76ers,10,72,10,61733864,1.619856486,0,0,
2016,Pacific,Phoenix Suns,23,59,23,72521524,3.171472238,0,0,
2016,Northwest,Portland Trail Blazers,44,38,44,111369193,3.950823277,0,0,
2016,Pacific,Sacramento Kings,33,49,33,87669044,3.764156479,0,0,
2016,Southwest,San Antonio Spurs,67,15,67,105303720,6.362548256,0,0,
2016,Atlantic,Toronto Raptors,56,26,56,108688646,5.152332103,0,0,
2016,Northwest,Utah Jazz,40,42,40,80223192,4.986089309,0,0,
2016,Southeast,Washington Wizards,41,41,41,101659831,4.033058052,0,0,
2015,Southeast,Atlanta Hawks,60,22,60,71332945,8.411260744,0,0,
2015,Atlantic,Boston Celtics,40,42,40,58250334,6.866913415,0,0,
2015,Atlantic,Brooklyn Nets,38,44,38,51712738,7.348286219,0,0,
2015,Southeast,Charlotte Hornets,33,49,33,78340920,4.212357986,0,0,
